ID,Reviews,Ratings
8,"I have generally had very good experience ordering jewelry from Amazon sellers, so I ordered two of these necklace pendants, one for myself and one for my mother. Both arrived with very badly tarnished chains (about half the chain rust colored on both). In addition, the actual pendants were scratched and ""used looking"".
",1
21,"when i opened the box, i was expecting two elephant charms. what did i get? one. come on. who would buy one?
",1
59,"I ordered a black titanium barbell. Once i recieved it, not even a day later black paint was chipping off my ""titanium ring."" Obviously the ring wasn't titanium, but painted steel, manipulatinf titanium.
",1
60,"I had ordered this for my girlfriends birthday, her birthstone being amethyst i thought i was getting a good deal on a nice piece. I was wrong. The stones have very VERY little purple in them, and frankly it just looks very cheaply made. And that is not the worst of it. When i was opening the box i could hear something jangling around, it turned out to be one of the stones that had already fallen out of the bracelet. I WILL be returning this item and i urge you the customer not to waste your time here.
",1
83,"I really am confused in why this item got so many positive reviews?! Perhaps I just got a dud?! Blue topaz is my birhtstone, and seeing the size of these, I thought these would be the perfect kind of earrings to put in and forget about....Mind you, I own many blue topaz pieces...but these were barely blue at all! And the silver pieces in between the stones? Well, it just blended the stones in even more to a washed out faded look! Seriously, I couldnt even tell these were blue topaz.Unfortunately, these went back. I wanted blue topaz, not some pale whitish stones...
",1
115,"i never get the item but was my fault i order to other adress sorry but i guess is a good product
",1
205,"I was very disappointed with this ring. I plan on returning it. Looks nothing like the picture. I would have been better off buying something similar at the teen jewelry store at the local mall. Totally over priced not worth it at all.
",1
220,"I ordered the size I usually wear but it was too small and I did not rec,info.on how to exchange.
",1
222,"It looked like aluminum foil up against my engagement ring. I am not satisfied as I wanted it to be a temporary wedding band till i get a real one. But I can say by it's self it's cute. It could look real on a finger by itself.
",1
253,"Hasn't broken or anything, but made the hole really red and sore and I've had the piercing for YEARs!
",1
265,"The quality of this item was not up to expectations.The Top was scratched, the hinges did not line up to the pre-drilled holes and the staining was inconsistant. If I saw this item in a store I would not have purchased it.
",1
